Academic Yr,Semester Year Letter Cd Concat,Semester Nm,Degree Level Desc,Major Short Nm,Ucb Level2 Ethnic Rollup Desc,Short Ethnic Desc,Gender Desc,Student Headcount,Prorated Degrees Awarded Cnt,College/School,Division,Department,Major
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Japanese,Female,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Japanese,Male,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Korean,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Korean,Male,14,14,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Other Asian,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Other Asian,Male,4,3.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,South Asian,Female,6,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,South Asian,Male,7,6.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Vietnamese,Female,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Asian,Vietnamese,Male,9,8.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Female,3,2.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Male,5,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Other Hispanic/Latino,Male,4,4,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Decline to State,Decline to State,Female,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2014-15,2015 B,Spring,Bachelor,L&S Computer Science,Decline to State,Decline to State,Male,7,7,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
